country,date,value
New York,1996,5903696
New York,1997,5486691
New York,1998,6454288
New York,1999,6499138
New York,2000,7761011
New York,2001,8637772
New York,2002,10618790
New York,2003,10405974
New York,2004,8786756
New York,2005,8919172
New York,2006,10451450
New York,2007,10391792
New York,2008,9111641
New York,2009,10349241
New York,2010,10965420
New York,2011,11691917
New York,2012,10612888
New York,2013,9689923
Florida,1996,3445480
Florida,1997,3135668
Florida,1998,3325318
Florida,1999,3616392
Florida,2000,3945071
Florida,2001,5125925
Florida,2002,5106258
Florida,2003,5227276
Florida,2004,4698971
Florida,2005,5193601
Florida,2006,5735921
Florida,2007,6900995
Florida,2008,6899451
Florida,2009,6053538
Florida,2010,5202204
Florida,2011,5046379
Florida,2012,4813554
Florida,2013,5190064
Washington,1996,1568929
Washington,1997,1871716
Washington,1998,1666146
Washington,1999,1987855
Washington,2000,1800323
Washington,2001,1930963
Washington,2002,2172232
Washington,2003,2320037
Washington,2004,2577797
Washington,2005,2486453
Washington,2006,2274647
Washington,2007,3069809
Washington,2008,3111447
Washington,2009,3583586
Washington,2010,3320407
Washington,2011,3446403
Washington,2012,3005883
Washington,2013,3232807
Pennsylvania,1996,1735249
Pennsylvania,1997,1678474
Pennsylvania,1998,2192504
Pennsylvania,1999,2474491
Pennsylvania,2000,2847894
Pennsylvania,2001,2855201
Pennsylvania,2002,3545000
Pennsylvania,2003,3735390
Pennsylvania,2004,2896845
Pennsylvania,2005,5132097
Pennsylvania,2006,4527970
Pennsylvania,2007,5004928
Pennsylvania,2008,5839689
Pennsylvania,2009,6798078
Pennsylvania,2010,7503916
Pennsylvania,2011,7284075
Pennsylvania,2012,7107657
Pennsylvania,2013,7053471
Arizona,1996,812062
Arizona,1997,768110
Arizona,1998,888544
Arizona,1999,1134910
Arizona,2000,1206313
Arizona,2001,1016317
Arizona,2002,1014488
Arizona,2003,1241058
Arizona,2004,1461931
Arizona,2005,1573075
Arizona,2006,1495486
Arizona,2007,1313210
Arizona,2008,1657234
Arizona,2009,1699923
Arizona,2010,1627856
Arizona,2011,1647807
Arizona,2012,1625185
Arizona,2013,1565334
Ohio,1996,2127915
Ohio,1997,2748621
Ohio,1998,2919070
Ohio,1999,2934416
Ohio,2000,3288366
Ohio,2001,3266540
Ohio,2002,3100590
Ohio,2003,3307861
Ohio,2004,3097504
Ohio,2005,3617216
Ohio,2006,3839366
Ohio,2007,3819803
Ohio,2008,3567604
Ohio,2009,3531586
Ohio,2010,4468163
Ohio,2011,4338859
Ohio,2012,3809013
Ohio,2013,4610338
California,1996,3776137
California,1997,3708494
California,1998,3620157
California,1999,4026326
California,2000,4235517
California,2001,4694194
California,2002,5540777
California,2003,6091850
California,2004,7542690
California,2005,7975303
California,2006,10115442
California,2007,8859502
California,2008,9767798
California,2009,8960068
California,2010,9670372
California,2011,7880666
California,2012,10148264
California,2013,9328821