city,date,value
Taipei,2020-10-15 00:00:00,658
Taipei,2020-10-15 01:00:00,462
Taipei,2020-10-15 02:00:00,397
Taipei,2020-10-15 03:00:00,362
Taipei,2020-10-15 04:00:00,425
Taipei,2020-10-15 05:00:00,734
Taipei,2020-10-15 06:00:00,2081
Taipei,2020-10-15 07:00:00,3665
Taipei,2020-10-15 08:00:00,3222
Taipei,2020-10-15 09:00:00,3012
Taipei,2020-10-15 10:00:00,3296
Taipei,2020-10-15 11:00:00,3342
Taipei,2020-10-15 12:00:00,3108
Taipei,2020-10-15 13:00:00,3224
Taipei,2020-10-15 14:00:00,3580
Taipei,2020-10-15 15:00:00,3420
Taipei,2020-10-15 16:00:00,3402
Taipei,2020-10-15 17:00:00,3384
Taipei,2020-10-15 18:00:00,3445
Taipei,2020-10-15 19:00:00,3180
Taipei,2020-10-15 20:00:00,2541
Taipei,2020-10-15 21:00:00,2447
Taipei,2020-10-15 22:00:00,1935
Taipei,2020-10-15 23:00:00,1102
Taichun,2020-10-15 00:00:00,186
Taichun,2020-10-15 01:00:00,197
Taichun,2020-10-15 02:00:00,176
Taichun,2020-10-15 03:00:00,160
Taichun,2020-10-15 04:00:00,132
Taichun,2020-10-15 05:00:00,225
Taichun,2020-10-15 06:00:00,829
Taichun,2020-10-15 07:00:00,3066
Taichun,2020-10-15 08:00:00,3424
Taichun,2020-10-15 09:00:00,2208
Taichun,2020-10-15 10:00:00,2021
Taichun,2020-10-15 11:00:00,2163
Taichun,2020-10-15 12:00:00,2136
Taichun,2020-10-15 13:00:00,2259
Taichun,2020-10-15 14:00:00,2236
Taichun,2020-10-15 15:00:00,2220
Taichun,2020-10-15 16:00:00,2815
Taichun,2020-10-15 17:00:00,3472
Taichun,2020-10-15 18:00:00,3203
Taichun,2020-10-15 19:00:00,1932
Taichun,2020-10-15 20:00:00,1448
Taichun,2020-10-15 21:00:00,1208
Taichun,2020-10-15 22:00:00,871
Taichun,2020-10-15 23:00:00,543
Tainan,2020-10-15 00:00:00,127
Tainan,2020-10-15 01:00:00,84
Tainan,2020-10-15 02:00:00,78
Tainan,2020-10-15 03:00:00,75
Tainan,2020-10-15 04:00:00,111
Tainan,2020-10-15 05:00:00,275
Tainan,2020-10-15 06:00:00,1254
Tainan,2020-10-15 07:00:00,2489
Tainan,2020-10-15 08:00:00,2066
Tainan,2020-10-15 09:00:00,1681
Tainan,2020-10-15 10:00:00,1441
Tainan,2020-10-15 11:00:00,1342
Tainan,2020-10-15 12:00:00,1146
Tainan,2020-10-15 13:00:00,1303
Tainan,2020-10-15 14:00:00,1483
Tainan,2020-10-15 15:00:00,1467
Tainan,2020-10-15 16:00:00,1565
Tainan,2020-10-15 17:00:00,1658
Tainan,2020-10-15 18:00:00,1472
Tainan,2020-10-15 19:00:00,975
Tainan,2020-10-15 20:00:00,752
Tainan,2020-10-15 21:00:00,650
Tainan,2020-10-15 22:00:00,510
Tainan,2020-10-15 23:00:00,346
Kaoshun,2020-10-15 00:00:00,453
Kaoshun,2020-10-15 01:00:00,322
Kaoshun,2020-10-15 02:00:00,273
Kaoshun,2020-10-15 03:00:00,210
Kaoshun,2020-10-15 04:00:00,236
Kaoshun,2020-10-15 05:00:00,384
Kaoshun,2020-10-15 06:00:00,1107
Kaoshun,2020-10-15 07:00:00,2849
Kaoshun,2020-10-15 08:00:00,3132
Kaoshun,2020-10-15 09:00:00,2709
Kaoshun,2020-10-15 10:00:00,2596
Kaoshun,2020-10-15 11:00:00,2643
Kaoshun,2020-10-15 12:00:00,2738
Kaoshun,2020-10-15 13:00:00,2844
Kaoshun,2020-10-15 14:00:00,2915
Kaoshun,2020-10-15 15:00:00,3180
Kaoshun,2020-10-15 16:00:00,3669
Kaoshun,2020-10-15 17:00:00,3737
Kaoshun,2020-10-15 18:00:00,3852
Kaoshun,2020-10-15 19:00:00,2995
Kaoshun,2020-10-15 20:00:00,2179
Kaoshun,2020-10-15 21:00:00,1939
Kaoshun,2020-10-15 22:00:00,1351
Kaoshun,2020-10-15 23:00:00,952